Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
Table: DT_AI_BaseNPC, Prop: m_iSpeedModSpeed, Offset: 0x2958
Table: DT_AI_BaseNPC, Prop: m_bSpeedModActive, Offset: 0x295F
Table: DT_AI_BaseNPC, Prop: m_bImportanRagdoll, Offset: 0x2960
Table: DT_AI_BaseNPC, Prop: m_flTimePingEffect, Offset: 0x2948
Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
Table: DT_AI_BaseNPC, Prop: m_iSpeedModSpeed, Offset: 0x2958
Table: DT_AI_BaseNPC, Prop: m_bSpeedModActive, Offset: 0x295F
Table: DT_AI_BaseNPC, Prop: m_bImportanRagdoll, Offset: 0x2960
Table: DT_AI_BaseNPC, Prop: m_flTimePingEffect, Offset: 0x2948
Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
Table: DT_AI_BaseNPC, Prop: m_iSpeedModSpeed, Offset: 0x2958
Table: DT_AI_BaseNPC, Prop: m_bSpeedModActive, Offset: 0x295F
Table: DT_AI_BaseNPC, Prop: m_bImportanRagdoll, Offset: 0x2960
Table: DT_AI_BaseNPC, Prop: m_flTimePingEffect, Offset: 0x2948
Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
Table: DT_AI_BaseNPC, Prop: m_iSpeedModSpeed, Offset: 0x2958
Table: DT_AI_BaseNPC, Prop: m_bSpeedModActive, Offset: 0x295F
Table: DT_AI_BaseNPC, Prop: m_bImportanRagdoll, Offset: 0x2960
Table: DT_AI_BaseNPC, Prop: m_flTimePingEffect, Offset: 0x2948
Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
Table: DT_AI_BaseNPC, Prop: m_iSpeedModSpeed, Offset: 0x2958
Table: DT_AI_BaseNPC, Prop: m_bSpeedModActive, Offset: 0x295F
Table: DT_AI_BaseNPC, Prop: m_bImportanRagdoll, Offset: 0x2960
Table: DT_AI_BaseNPC, Prop: m_flTimePingEffect, Offset: 0x2948
Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
Table: DT_AI_BaseNPC, Prop: m_iSpeedModSpeed, Offset: 0x2958
Table: DT_AI_BaseNPC, Prop: m_bSpeedModActive, Offset: 0x295F
Table: DT_AI_BaseNPC, Prop: m_bImportanRagdoll, Offset: 0x2960
Table: DT_AI_BaseNPC, Prop: m_flTimePingEffect, Offset: 0x2948
Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
Table: DT_AI_BaseNPC, Prop: m_iSpeedModSpeed, Offset: 0x2958
Table: DT_AI_BaseNPC, Prop: m_bSpeedModActive, Offset: 0x295F
Table: DT_AI_BaseNPC, Prop: m_bImportanRagdoll, Offset: 0x2960
Table: DT_AI_BaseNPC, Prop: m_flTimePingEffect, Offset: 0x2948
Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
Table: DT_AI_BaseNPC, Prop: m_iSpeedModSpeed, Offset: 0x2958
Table: DT_AI_BaseNPC, Prop: m_bSpeedModActive, Offset: 0x295F
Table: DT_AI_BaseNPC, Prop: m_bImportanRagdoll, Offset: 0x2960
Table: DT_AI_BaseNPC, Prop: m_flTimePingEffect, Offset: 0x2948
Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
Table: DT_AI_BaseNPC, Prop: m_iSpeedModSpeed, Offset: 0x2958
Table: DT_AI_BaseNPC, Prop: m_bSpeedModActive, Offset: 0x295F
Table: DT_AI_BaseNPC, Prop: m_bImportanRagdoll, Offset: 0x2960
Table: DT_AI_BaseNPC, Prop: m_flTimePingEffect, Offset: 0x2948
Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
Table: DT_AI_BaseNPC, Prop: m_iSpeedModSpeed, Offset: 0x2958
Table: DT_AI_BaseNPC, Prop: m_bSpeedModActive, Offset: 0x295F
Table: DT_AI_BaseNPC, Prop: m_bImportanRagdoll, Offset: 0x2960
Table: DT_AI_BaseNPC, Prop: m_flTimePingEffect, Offset: 0x2948
Table: DT_AI_BaseNPC, Prop: m_lifeState, Offset: 0xC7
Table: DT_AI_BaseNPC, Prop: m_bPerformAvoidance, Offset: 0x295C
Table: DT_AI_BaseNPC, Prop: m_bIsMoving, Offset: 0x295D
Table: DT_AI_BaseNPC, Prop: m_bFadeCorpse, Offset: 0x295E
Table: DT_AI_BaseNPC, Prop: m_iDeathPose, Offset: 0x294C
Table: DT_AI_BaseNPC, Prop: m_iDeathFrame, Offset: 0x2950
Table: DT_AI_BaseNPC, Prop: m_iSpeedModRadius, Offset: 0x2954
