Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
Table: DT_BCCLocalPlayerExclusive, Prop: bcc_localdata.m_flNextAttack, Offset: 0x2138
