Table: DT_BaseBeam, Prop: m_nModelIndex, Offset: 0x20
Table: DT_BaseBeam, Prop: m_nHaloIndex, Offset: 0x24
Table: DT_BaseBeam, Prop: m_nStartFrame, Offset: 0x28
Table: DT_BaseBeam, Prop: m_nFrameRate, Offset: 0x2C
Table: DT_BaseBeam, Prop: m_fLife, Offset: 0x30
Table: DT_BaseBeam, Prop: m_fWidth, Offset: 0x34
Table: DT_BaseBeam, Prop: m_fEndWidth, Offset: 0x38
Table: DT_BaseBeam, Prop: m_nFadeLength, Offset: 0x3C
Table: DT_BaseBeam, Prop: m_fAmplitude, Offset: 0x40
Table: DT_BaseBeam, Prop: m_nSpeed, Offset: 0x54
Table: DT_BaseBeam, Prop: r, Offset: 0x44
Table: DT_BaseBeam, Prop: g, Offset: 0x48
Table: DT_BaseBeam, Prop: b, Offset: 0x4C
Table: DT_BaseBeam, Prop: a, Offset: 0x50
Table: DT_BaseBeam, Prop: m_nFlags, Offset: 0x58
Table: DT_BaseBeam, Prop: m_nModelIndex, Offset: 0x20
Table: DT_BaseBeam, Prop: m_nHaloIndex, Offset: 0x24
Table: DT_BaseBeam, Prop: m_nStartFrame, Offset: 0x28
Table: DT_BaseBeam, Prop: m_nFrameRate, Offset: 0x2C
Table: DT_BaseBeam, Prop: m_fLife, Offset: 0x30
Table: DT_BaseBeam, Prop: m_fWidth, Offset: 0x34
Table: DT_BaseBeam, Prop: m_fEndWidth, Offset: 0x38
Table: DT_BaseBeam, Prop: m_nFadeLength, Offset: 0x3C
Table: DT_BaseBeam, Prop: m_fAmplitude, Offset: 0x40
Table: DT_BaseBeam, Prop: m_nSpeed, Offset: 0x54
Table: DT_BaseBeam, Prop: r, Offset: 0x44
Table: DT_BaseBeam, Prop: g, Offset: 0x48
Table: DT_BaseBeam, Prop: b, Offset: 0x4C
Table: DT_BaseBeam, Prop: a, Offset: 0x50
Table: DT_BaseBeam, Prop: m_nFlags, Offset: 0x58
Table: DT_BaseBeam, Prop: m_nModelIndex, Offset: 0x20
Table: DT_BaseBeam, Prop: m_nHaloIndex, Offset: 0x24
Table: DT_BaseBeam, Prop: m_nStartFrame, Offset: 0x28
Table: DT_BaseBeam, Prop: m_nFrameRate, Offset: 0x2C
Table: DT_BaseBeam, Prop: m_fLife, Offset: 0x30
Table: DT_BaseBeam, Prop: m_fWidth, Offset: 0x34
Table: DT_BaseBeam, Prop: m_fEndWidth, Offset: 0x38
Table: DT_BaseBeam, Prop: m_nFadeLength, Offset: 0x3C
Table: DT_BaseBeam, Prop: m_fAmplitude, Offset: 0x40
Table: DT_BaseBeam, Prop: m_nSpeed, Offset: 0x54
Table: DT_BaseBeam, Prop: r, Offset: 0x44
Table: DT_BaseBeam, Prop: g, Offset: 0x48
Table: DT_BaseBeam, Prop: b, Offset: 0x4C
Table: DT_BaseBeam, Prop: a, Offset: 0x50
Table: DT_BaseBeam, Prop: m_nFlags, Offset: 0x58
Table: DT_BaseBeam, Prop: m_nModelIndex, Offset: 0x20
Table: DT_BaseBeam, Prop: m_nHaloIndex, Offset: 0x24
Table: DT_BaseBeam, Prop: m_nStartFrame, Offset: 0x28
Table: DT_BaseBeam, Prop: m_nFrameRate, Offset: 0x2C
Table: DT_BaseBeam, Prop: m_fLife, Offset: 0x30
Table: DT_BaseBeam, Prop: m_fWidth, Offset: 0x34
Table: DT_BaseBeam, Prop: m_fEndWidth, Offset: 0x38
Table: DT_BaseBeam, Prop: m_nFadeLength, Offset: 0x3C
Table: DT_BaseBeam, Prop: m_fAmplitude, Offset: 0x40
Table: DT_BaseBeam, Prop: m_nSpeed, Offset: 0x54
Table: DT_BaseBeam, Prop: r, Offset: 0x44
Table: DT_BaseBeam, Prop: g, Offset: 0x48
Table: DT_BaseBeam, Prop: b, Offset: 0x4C
Table: DT_BaseBeam, Prop: a, Offset: 0x50
Table: DT_BaseBeam, Prop: m_nFlags, Offset: 0x58
Table: DT_BaseBeam, Prop: m_nModelIndex, Offset: 0x20
Table: DT_BaseBeam, Prop: m_nHaloIndex, Offset: 0x24
Table: DT_BaseBeam, Prop: m_nStartFrame, Offset: 0x28
Table: DT_BaseBeam, Prop: m_nFrameRate, Offset: 0x2C
Table: DT_BaseBeam, Prop: m_fLife, Offset: 0x30
Table: DT_BaseBeam, Prop: m_fWidth, Offset: 0x34
Table: DT_BaseBeam, Prop: m_fEndWidth, Offset: 0x38
Table: DT_BaseBeam, Prop: m_nFadeLength, Offset: 0x3C
Table: DT_BaseBeam, Prop: m_fAmplitude, Offset: 0x40
Table: DT_BaseBeam, Prop: m_nSpeed, Offset: 0x54
Table: DT_BaseBeam, Prop: r, Offset: 0x44
Table: DT_BaseBeam, Prop: g, Offset: 0x48
Table: DT_BaseBeam, Prop: b, Offset: 0x4C
Table: DT_BaseBeam, Prop: a, Offset: 0x50
Table: DT_BaseBeam, Prop: m_nFlags, Offset: 0x58
Table: DT_BaseBeam, Prop: m_nModelIndex, Offset: 0x20
Table: DT_BaseBeam, Prop: m_nHaloIndex, Offset: 0x24
Table: DT_BaseBeam, Prop: m_nStartFrame, Offset: 0x28
Table: DT_BaseBeam, Prop: m_nFrameRate, Offset: 0x2C
Table: DT_BaseBeam, Prop: m_fLife, Offset: 0x30
Table: DT_BaseBeam, Prop: m_fWidth, Offset: 0x34
Table: DT_BaseBeam, Prop: m_fEndWidth, Offset: 0x38
Table: DT_BaseBeam, Prop: m_nFadeLength, Offset: 0x3C
Table: DT_BaseBeam, Prop: m_fAmplitude, Offset: 0x40
Table: DT_BaseBeam, Prop: m_nSpeed, Offset: 0x54
Table: DT_BaseBeam, Prop: r, Offset: 0x44
Table: DT_BaseBeam, Prop: g, Offset: 0x48
Table: DT_BaseBeam, Prop: b, Offset: 0x4C
Table: DT_BaseBeam, Prop: a, Offset: 0x50
Table: DT_BaseBeam, Prop: m_nFlags, Offset: 0x58
Table: DT_BaseBeam, Prop: m_nModelIndex, Offset: 0x20
Table: DT_BaseBeam, Prop: m_nHaloIndex, Offset: 0x24
Table: DT_BaseBeam, Prop: m_nStartFrame, Offset: 0x28
Table: DT_BaseBeam, Prop: m_nFrameRate, Offset: 0x2C
Table: DT_BaseBeam, Prop: m_fLife, Offset: 0x30
Table: DT_BaseBeam, Prop: m_fWidth, Offset: 0x34
Table: DT_BaseBeam, Prop: m_fEndWidth, Offset: 0x38
