Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
Table: DT_BaseCombatCharacter, Prop: m_hActiveWeapon, Offset: 0x2940
Table: DT_BaseCombatCharacter, Prop: m_bloodColor, Offset: 0x213C
