Table: DT_BaseFlex, Prop: m_blinktoggle, Offset: 0x1EB0
Table: DT_BaseFlex, Prop: m_viewtarget, Offset: 0x1C80
Table: DT_BaseFlex, Prop: m_vecViewOffset[0], Offset: 0x13C
Table: DT_BaseFlex, Prop: m_vecViewOffset[1], Offset: 0x140
Table: DT_BaseFlex, Prop: m_vecViewOffset[2], Offset: 0x144
Table: DT_BaseFlex, Prop: m_vecLean, Offset: 0x2070
Table: DT_BaseFlex, Prop: m_vecShift, Offset: 0x20D0
Table: DT_BaseFlex, Prop: m_blinktoggle, Offset: 0x1EB0
Table: DT_BaseFlex, Prop: m_viewtarget, Offset: 0x1C80
Table: DT_BaseFlex, Prop: m_vecViewOffset[0], Offset: 0x13C
Table: DT_BaseFlex, Prop: m_vecViewOffset[1], Offset: 0x140
Table: DT_BaseFlex, Prop: m_vecViewOffset[2], Offset: 0x144
Table: DT_BaseFlex, Prop: m_vecLean, Offset: 0x2070
Table: DT_BaseFlex, Prop: m_vecShift, Offset: 0x20D0
Table: DT_BaseFlex, Prop: m_blinktoggle, Offset: 0x1EB0
Table: DT_BaseFlex, Prop: m_viewtarget, Offset: 0x1C80
Table: DT_BaseFlex, Prop: m_vecViewOffset[0], Offset: 0x13C
Table: DT_BaseFlex, Prop: m_vecViewOffset[1], Offset: 0x140
Table: DT_BaseFlex, Prop: m_vecViewOffset[2], Offset: 0x144
Table: DT_BaseFlex, Prop: m_vecLean, Offset: 0x2070
Table: DT_BaseFlex, Prop: m_vecShift, Offset: 0x20D0
Table: DT_BaseFlex, Prop: m_blinktoggle, Offset: 0x1EB0
Table: DT_BaseFlex, Prop: m_viewtarget, Offset: 0x1C80
Table: DT_BaseFlex, Prop: m_vecViewOffset[0], Offset: 0x13C
Table: DT_BaseFlex, Prop: m_vecViewOffset[1], Offset: 0x140
Table: DT_BaseFlex, Prop: m_vecViewOffset[2], Offset: 0x144
Table: DT_BaseFlex, Prop: m_vecLean, Offset: 0x2070
Table: DT_BaseFlex, Prop: m_vecShift, Offset: 0x20D0
Table: DT_BaseFlex, Prop: m_blinktoggle, Offset: 0x1EB0
Table: DT_BaseFlex, Prop: m_viewtarget, Offset: 0x1C80
Table: DT_BaseFlex, Prop: m_vecViewOffset[0], Offset: 0x13C
Table: DT_BaseFlex, Prop: m_vecViewOffset[1], Offset: 0x140
Table: DT_BaseFlex, Prop: m_vecViewOffset[2], Offset: 0x144
Table: DT_BaseFlex, Prop: m_vecLean, Offset: 0x2070
Table: DT_BaseFlex, Prop: m_vecShift, Offset: 0x20D0
Table: DT_BaseFlex, Prop: m_blinktoggle, Offset: 0x1EB0
Table: DT_BaseFlex, Prop: m_viewtarget, Offset: 0x1C80
Table: DT_BaseFlex, Prop: m_vecViewOffset[0], Offset: 0x13C
Table: DT_BaseFlex, Prop: m_vecViewOffset[1], Offset: 0x140
Table: DT_BaseFlex, Prop: m_vecViewOffset[2], Offset: 0x144
Table: DT_BaseFlex, Prop: m_vecLean, Offset: 0x2070
Table: DT_BaseFlex, Prop: m_vecShift, Offset: 0x20D0
Table: DT_BaseFlex, Prop: m_blinktoggle, Offset: 0x1EB0
Table: DT_BaseFlex, Prop: m_viewtarget, Offset: 0x1C80
Table: DT_BaseFlex, Prop: m_vecViewOffset[0], Offset: 0x13C
Table: DT_BaseFlex, Prop: m_vecViewOffset[1], Offset: 0x140
Table: DT_BaseFlex, Prop: m_vecViewOffset[2], Offset: 0x144
Table: DT_BaseFlex, Prop: m_vecLean, Offset: 0x2070
Table: DT_BaseFlex, Prop: m_vecShift, Offset: 0x20D0
Table: DT_BaseFlex, Prop: m_blinktoggle, Offset: 0x1EB0
Table: DT_BaseFlex, Prop: m_viewtarget, Offset: 0x1C80
Table: DT_BaseFlex, Prop: m_vecViewOffset[0], Offset: 0x13C
Table: DT_BaseFlex, Prop: m_vecViewOffset[1], Offset: 0x140
Table: DT_BaseFlex, Prop: m_vecViewOffset[2], Offset: 0x144
