Table: DT_BasePlayer, Prop: m_hVehicle, Offset: 0x2CF4
Table: DT_BasePlayer, Prop: m_hUseEntity, Offset: 0x2CFC
Table: DT_BasePlayer, Prop: m_lifeState, Offset: 0xC7
Table: DT_BasePlayer, Prop: m_hColorCorrectionCtrl, Offset: 0x3570
Table: DT_BasePlayer, Prop: m_flMaxspeed, Offset: 0x2D00
Table: DT_BasePlayer, Prop: m_fFlags, Offset: 0x440
Table: DT_BasePlayer, Prop: m_iObserverMode, Offset: 0x2CC4
Table: DT_BasePlayer, Prop: m_hObserverTarget, Offset: 0x2CC8
Table: DT_BasePlayer, Prop: m_iFOV, Offset: 0x2C50
Table: DT_BasePlayer, Prop: m_iFOVStart, Offset: 0x2C54
Table: DT_BasePlayer, Prop: m_flFOVTime, Offset: 0x2C58
Table: DT_BasePlayer, Prop: m_iDefaultFOV, Offset: 0x2C5C
Table: DT_BasePlayer, Prop: m_hZoomOwner, Offset: 0x2C60
Table: DT_BasePlayer, Prop: m_hViewModel[0], Offset: 0x2DD8
Table: DT_BasePlayer, Prop: m_hViewModel[0], Offset: 0x0
Table: DT_BasePlayer, Prop: m_hViewModel[1], Offset: 0x4
Table: DT_BasePlayer, Prop: m_hViewModel[2], Offset: 0x8
Table: DT_BasePlayer, Prop: m_szLastPlaceName, Offset: 0x33A8
Table: DT_BasePlayer, Prop: m_bUseWeaponsInVehicle, Offset: 0x2DA2
Table: DT_BasePlayer, Prop: m_hVehicle, Offset: 0x2CF4
Table: DT_BasePlayer, Prop: m_hUseEntity, Offset: 0x2CFC
Table: DT_BasePlayer, Prop: m_lifeState, Offset: 0xC7
Table: DT_BasePlayer, Prop: m_hColorCorrectionCtrl, Offset: 0x3570
Table: DT_BasePlayer, Prop: m_flMaxspeed, Offset: 0x2D00
Table: DT_BasePlayer, Prop: m_fFlags, Offset: 0x440
Table: DT_BasePlayer, Prop: m_iObserverMode, Offset: 0x2CC4
Table: DT_BasePlayer, Prop: m_hObserverTarget, Offset: 0x2CC8
Table: DT_BasePlayer, Prop: m_iFOV, Offset: 0x2C50
Table: DT_BasePlayer, Prop: m_iFOVStart, Offset: 0x2C54
Table: DT_BasePlayer, Prop: m_flFOVTime, Offset: 0x2C58
Table: DT_BasePlayer, Prop: m_iDefaultFOV, Offset: 0x2C5C
Table: DT_BasePlayer, Prop: m_hZoomOwner, Offset: 0x2C60
Table: DT_BasePlayer, Prop: m_hViewModel[0], Offset: 0x2DD8
Table: DT_BasePlayer, Prop: m_hViewModel[0], Offset: 0x0
Table: DT_BasePlayer, Prop: m_hViewModel[1], Offset: 0x4
Table: DT_BasePlayer, Prop: m_hViewModel[2], Offset: 0x8
Table: DT_BasePlayer, Prop: m_szLastPlaceName, Offset: 0x33A8
Table: DT_BasePlayer, Prop: m_bUseWeaponsInVehicle, Offset: 0x2DA2
Table: DT_BasePlayer, Prop: m_hVehicle, Offset: 0x2CF4
Table: DT_BasePlayer, Prop: m_hUseEntity, Offset: 0x2CFC
Table: DT_BasePlayer, Prop: m_lifeState, Offset: 0xC7
Table: DT_BasePlayer, Prop: m_hColorCorrectionCtrl, Offset: 0x3570
Table: DT_BasePlayer, Prop: m_flMaxspeed, Offset: 0x2D00
Table: DT_BasePlayer, Prop: m_fFlags, Offset: 0x440
Table: DT_BasePlayer, Prop: m_iObserverMode, Offset: 0x2CC4
Table: DT_BasePlayer, Prop: m_hObserverTarget, Offset: 0x2CC8
Table: DT_BasePlayer, Prop: m_iFOV, Offset: 0x2C50
Table: DT_BasePlayer, Prop: m_iFOVStart, Offset: 0x2C54
Table: DT_BasePlayer, Prop: m_flFOVTime, Offset: 0x2C58
Table: DT_BasePlayer, Prop: m_iDefaultFOV, Offset: 0x2C5C
Table: DT_BasePlayer, Prop: m_hZoomOwner, Offset: 0x2C60
Table: DT_BasePlayer, Prop: m_hViewModel[0], Offset: 0x2DD8
Table: DT_BasePlayer, Prop: m_hViewModel[0], Offset: 0x0
Table: DT_BasePlayer, Prop: m_hViewModel[1], Offset: 0x4
Table: DT_BasePlayer, Prop: m_hViewModel[2], Offset: 0x8
Table: DT_BasePlayer, Prop: m_szLastPlaceName, Offset: 0x33A8
Table: DT_BasePlayer, Prop: m_bUseWeaponsInVehicle, Offset: 0x2DA2
Table: DT_BasePlayer, Prop: m_hVehicle, Offset: 0x2CF4
Table: DT_BasePlayer, Prop: m_hUseEntity, Offset: 0x2CFC
Table: DT_BasePlayer, Prop: m_lifeState, Offset: 0xC7
Table: DT_BasePlayer, Prop: m_hColorCorrectionCtrl, Offset: 0x3570
Table: DT_BasePlayer, Prop: m_flMaxspeed, Offset: 0x2D00
Table: DT_BasePlayer, Prop: m_fFlags, Offset: 0x440
Table: DT_BasePlayer, Prop: m_iObserverMode, Offset: 0x2CC4
Table: DT_BasePlayer, Prop: m_hObserverTarget, Offset: 0x2CC8
Table: DT_BasePlayer, Prop: m_iFOV, Offset: 0x2C50
Table: DT_BasePlayer, Prop: m_iFOVStart, Offset: 0x2C54
Table: DT_BasePlayer, Prop: m_flFOVTime, Offset: 0x2C58
Table: DT_BasePlayer, Prop: m_iDefaultFOV, Offset: 0x2C5C
Table: DT_BasePlayer, Prop: m_hZoomOwner, Offset: 0x2C60
Table: DT_BasePlayer, Prop: m_hViewModel[0], Offset: 0x2DD8
Table: DT_BasePlayer, Prop: m_hViewModel[0], Offset: 0x0
Table: DT_BasePlayer, Prop: m_hViewModel[1], Offset: 0x4
Table: DT_BasePlayer, Prop: m_hViewModel[2], Offset: 0x8
Table: DT_BasePlayer, Prop: m_szLastPlaceName, Offset: 0x33A8
Table: DT_BasePlayer, Prop: m_bUseWeaponsInVehicle, Offset: 0x2DA2
