Table: DT_HL2Local, Prop: m_HL2Local.m_flSuitPower, Offset: 0x35D8
Table: DT_HL2Local, Prop: m_HL2Local.m_bZooming, Offset: 0x35DC
Table: DT_HL2Local, Prop: m_HL2Local.m_bitsActiveDevices, Offset: 0x35E0
Table: DT_HL2Local, Prop: m_HL2Local.m_iSquadMemberCount, Offset: 0x35E4
Table: DT_HL2Local, Prop: m_HL2Local.m_iSquadMedicCount, Offset: 0x35E8
Table: DT_HL2Local, Prop: m_HL2Local.m_fSquadInFollowMode, Offset: 0x35EC
Table: DT_HL2Local, Prop: m_HL2Local.m_bWeaponLowered, Offset: 0x35ED
Table: DT_HL2Local, Prop: m_HL2Local.m_hAutoAimTarget, Offset: 0x35F0
Table: DT_HL2Local, Prop: m_HL2Local.m_vecAutoAimPoint, Offset: 0x35F4
Table: DT_HL2Local, Prop: m_HL2Local.m_hLadder, Offset: 0x3604
Table: DT_HL2Local, Prop: m_HL2Local.m_bDisplayReticle, Offset: 0x3600
Table: DT_HL2Local, Prop: m_HL2Local.m_bStickyAutoAim, Offset: 0x3601
Table: DT_HL2Local, Prop: m_HL2Local.m_bAutoAimTarget, Offset: 0x3602
Table: DT_HL2Local, Prop: m_HL2Local.m_flSuitPower, Offset: 0x35D8
Table: DT_HL2Local, Prop: m_HL2Local.m_bZooming, Offset: 0x35DC
Table: DT_HL2Local, Prop: m_HL2Local.m_bitsActiveDevices, Offset: 0x35E0
Table: DT_HL2Local, Prop: m_HL2Local.m_iSquadMemberCount, Offset: 0x35E4
Table: DT_HL2Local, Prop: m_HL2Local.m_iSquadMedicCount, Offset: 0x35E8
Table: DT_HL2Local, Prop: m_HL2Local.m_fSquadInFollowMode, Offset: 0x35EC
Table: DT_HL2Local, Prop: m_HL2Local.m_bWeaponLowered, Offset: 0x35ED
Table: DT_HL2Local, Prop: m_HL2Local.m_hAutoAimTarget, Offset: 0x35F0
Table: DT_HL2Local, Prop: m_HL2Local.m_vecAutoAimPoint, Offset: 0x35F4
Table: DT_HL2Local, Prop: m_HL2Local.m_hLadder, Offset: 0x3604
Table: DT_HL2Local, Prop: m_HL2Local.m_bDisplayReticle, Offset: 0x3600
Table: DT_HL2Local, Prop: m_HL2Local.m_bStickyAutoAim, Offset: 0x3601
Table: DT_HL2Local, Prop: m_HL2Local.m_bAutoAimTarget, Offset: 0x3602
Table: DT_HL2Local, Prop: m_HL2Local.m_flSuitPower, Offset: 0x35D8
Table: DT_HL2Local, Prop: m_HL2Local.m_bZooming, Offset: 0x35DC
Table: DT_HL2Local, Prop: m_HL2Local.m_bitsActiveDevices, Offset: 0x35E0
Table: DT_HL2Local, Prop: m_HL2Local.m_iSquadMemberCount, Offset: 0x35E4
Table: DT_HL2Local, Prop: m_HL2Local.m_iSquadMedicCount, Offset: 0x35E8
Table: DT_HL2Local, Prop: m_HL2Local.m_fSquadInFollowMode, Offset: 0x35EC
Table: DT_HL2Local, Prop: m_HL2Local.m_bWeaponLowered, Offset: 0x35ED
Table: DT_HL2Local, Prop: m_HL2Local.m_hAutoAimTarget, Offset: 0x35F0
Table: DT_HL2Local, Prop: m_HL2Local.m_vecAutoAimPoint, Offset: 0x35F4
Table: DT_HL2Local, Prop: m_HL2Local.m_hLadder, Offset: 0x3604
Table: DT_HL2Local, Prop: m_HL2Local.m_bDisplayReticle, Offset: 0x3600
Table: DT_HL2Local, Prop: m_HL2Local.m_bStickyAutoAim, Offset: 0x3601
Table: DT_HL2Local, Prop: m_HL2Local.m_bAutoAimTarget, Offset: 0x3602
