Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextPrimaryAttack, Offset: 0x1C04
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flNextSecondaryAttack, Offset: 0x1C08
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalActiveWeaponData, Prop: LocalActiveWeaponData.m_flTimeWeaponIdle, Offset: 0x1C0C
