Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[0], Offset: 0x13C
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[1], Offset: 0x140
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[2], Offset: 0x144
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flFriction, Offset: 0x304
Table: DT_LocalPlayerExclusive, Prop: localdata.m_fOnTarget, Offset: 0x2C6C
Table: DT_LocalPlayerExclusive, Prop: localdata.m_nTickBase, Offset: 0x2D90
Table: DT_LocalPlayerExclusive, Prop: localdata.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hLastWeapon, Offset: 0x2DB0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hGroundEntity, Offset: 0x2FC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecBaseVelocity, Offset: 0x1D0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hConstraintEntity, Offset: 0x2CA8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecConstraintCenter, Offset: 0x2CAC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintRadius, Offset: 0x2CB8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintWidth, Offset: 0x2CBC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintSpeedFactor, Offset: 0x2CC0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flDeathTime, Offset: 0x2CE8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flLaggedMovementValue, Offset: 0x3388
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hTonemapController, Offset: 0x2C30
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hViewEntity, Offset: 0x35A4
Table: DT_LocalPlayerExclusive, Prop: localdata.m_bDisableWorldClicking, Offset: 0x35AD
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[0], Offset: 0x13C
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[1], Offset: 0x140
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[2], Offset: 0x144
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flFriction, Offset: 0x304
Table: DT_LocalPlayerExclusive, Prop: localdata.m_fOnTarget, Offset: 0x2C6C
Table: DT_LocalPlayerExclusive, Prop: localdata.m_nTickBase, Offset: 0x2D90
Table: DT_LocalPlayerExclusive, Prop: localdata.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hLastWeapon, Offset: 0x2DB0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hGroundEntity, Offset: 0x2FC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecBaseVelocity, Offset: 0x1D0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hConstraintEntity, Offset: 0x2CA8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecConstraintCenter, Offset: 0x2CAC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintRadius, Offset: 0x2CB8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintWidth, Offset: 0x2CBC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintSpeedFactor, Offset: 0x2CC0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flDeathTime, Offset: 0x2CE8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flLaggedMovementValue, Offset: 0x3388
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hTonemapController, Offset: 0x2C30
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hViewEntity, Offset: 0x35A4
Table: DT_LocalPlayerExclusive, Prop: localdata.m_bDisableWorldClicking, Offset: 0x35AD
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[0], Offset: 0x13C
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[1], Offset: 0x140
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[2], Offset: 0x144
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flFriction, Offset: 0x304
Table: DT_LocalPlayerExclusive, Prop: localdata.m_fOnTarget, Offset: 0x2C6C
Table: DT_LocalPlayerExclusive, Prop: localdata.m_nTickBase, Offset: 0x2D90
Table: DT_LocalPlayerExclusive, Prop: localdata.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hLastWeapon, Offset: 0x2DB0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hGroundEntity, Offset: 0x2FC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecBaseVelocity, Offset: 0x1D0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hConstraintEntity, Offset: 0x2CA8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecConstraintCenter, Offset: 0x2CAC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintRadius, Offset: 0x2CB8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintWidth, Offset: 0x2CBC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintSpeedFactor, Offset: 0x2CC0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flDeathTime, Offset: 0x2CE8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flLaggedMovementValue, Offset: 0x3388
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hTonemapController, Offset: 0x2C30
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hViewEntity, Offset: 0x35A4
Table: DT_LocalPlayerExclusive, Prop: localdata.m_bDisableWorldClicking, Offset: 0x35AD
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[0], Offset: 0x13C
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[1], Offset: 0x140
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecViewOffset[2], Offset: 0x144
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flFriction, Offset: 0x304
Table: DT_LocalPlayerExclusive, Prop: localdata.m_fOnTarget, Offset: 0x2C6C
Table: DT_LocalPlayerExclusive, Prop: localdata.m_nTickBase, Offset: 0x2D90
Table: DT_LocalPlayerExclusive, Prop: localdata.m_nNextThinkTick, Offset: 0xBC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hLastWeapon, Offset: 0x2DB0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hGroundEntity, Offset: 0x2FC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecBaseVelocity, Offset: 0x1D0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hConstraintEntity, Offset: 0x2CA8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_vecConstraintCenter, Offset: 0x2CAC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintRadius, Offset: 0x2CB8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintWidth, Offset: 0x2CBC
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flConstraintSpeedFactor, Offset: 0x2CC0
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flDeathTime, Offset: 0x2CE8
Table: DT_LocalPlayerExclusive, Prop: localdata.m_flLaggedMovementValue, Offset: 0x3388
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hTonemapController, Offset: 0x2C30
Table: DT_LocalPlayerExclusive, Prop: localdata.m_hViewEntity, Offset: 0x35A4
Table: DT_LocalPlayerExclusive, Prop: localdata.m_bDisableWorldClicking, Offset: 0x35AD
