Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_nViewModelIndex, Offset: 0x1C00
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_bFlipViewModel, Offset: 0x1C80
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_nViewModelIndex, Offset: 0x1C00
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_bFlipViewModel, Offset: 0x1C80
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_nViewModelIndex, Offset: 0x1C00
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_bFlipViewModel, Offset: 0x1C80
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_nViewModelIndex, Offset: 0x1C00
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_bFlipViewModel, Offset: 0x1C80
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_nViewModelIndex, Offset: 0x1C00
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_bFlipViewModel, Offset: 0x1C80
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_nViewModelIndex, Offset: 0x1C00
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_bFlipViewModel, Offset: 0x1C80
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_nViewModelIndex, Offset: 0x1C00
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_bFlipViewModel, Offset: 0x1C80
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_nViewModelIndex, Offset: 0x1C00
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_bFlipViewModel, Offset: 0x1C80
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_nViewModelIndex, Offset: 0x1C00
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_bFlipViewModel, Offset: 0x1C80
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_nViewModelIndex, Offset: 0x1C00
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_bFlipViewModel, Offset: 0x1C80
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip1, Offset: 0x1C50
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iClip2, Offset: 0x1C54
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iPrimaryAmmoType, Offset: 0x1C48
Table: DT_LocalWeaponData, Prop: LocalWeaponData.m_iSecondaryAmmoType, Offset: 0x1C4C
