Table: DT_PropVehicleDriveable, Prop: m_hPlayer, Offset: 0x1C00
Table: DT_PropVehicleDriveable, Prop: m_nSpeed, Offset: 0x1C04
Table: DT_PropVehicleDriveable, Prop: m_nRPM, Offset: 0x1C08
Table: DT_PropVehicleDriveable, Prop: m_flThrottle, Offset: 0x1C0C
Table: DT_PropVehicleDriveable, Prop: m_nBoostTimeLeft, Offset: 0x1C10
Table: DT_PropVehicleDriveable, Prop: m_nHasBoost, Offset: 0x1C14
Table: DT_PropVehicleDriveable, Prop: m_nScannerDisabledWeapons, Offset: 0x1C18
Table: DT_PropVehicleDriveable, Prop: m_nScannerDisabledVehicle, Offset: 0x1C1C
Table: DT_PropVehicleDriveable, Prop: m_bEnterAnimOn, Offset: 0x1C3C
Table: DT_PropVehicleDriveable, Prop: m_bExitAnimOn, Offset: 0x1C3D
Table: DT_PropVehicleDriveable, Prop: m_bUnableToFire, Offset: 0x1CAD
Table: DT_PropVehicleDriveable, Prop: m_vecEyeExitEndpoint, Offset: 0x1CA0
Table: DT_PropVehicleDriveable, Prop: m_bHasGun, Offset: 0x1CAC
Table: DT_PropVehicleDriveable, Prop: m_vecGunCrosshair, Offset: 0x1C44
Table: DT_PropVehicleDriveable, Prop: m_hPlayer, Offset: 0x1C00
Table: DT_PropVehicleDriveable, Prop: m_nSpeed, Offset: 0x1C04
Table: DT_PropVehicleDriveable, Prop: m_nRPM, Offset: 0x1C08
Table: DT_PropVehicleDriveable, Prop: m_flThrottle, Offset: 0x1C0C
Table: DT_PropVehicleDriveable, Prop: m_nBoostTimeLeft, Offset: 0x1C10
Table: DT_PropVehicleDriveable, Prop: m_nHasBoost, Offset: 0x1C14
Table: DT_PropVehicleDriveable, Prop: m_nScannerDisabledWeapons, Offset: 0x1C18
Table: DT_PropVehicleDriveable, Prop: m_nScannerDisabledVehicle, Offset: 0x1C1C
Table: DT_PropVehicleDriveable, Prop: m_bEnterAnimOn, Offset: 0x1C3C
Table: DT_PropVehicleDriveable, Prop: m_bExitAnimOn, Offset: 0x1C3D
Table: DT_PropVehicleDriveable, Prop: m_bUnableToFire, Offset: 0x1CAD
Table: DT_PropVehicleDriveable, Prop: m_vecEyeExitEndpoint, Offset: 0x1CA0
Table: DT_PropVehicleDriveable, Prop: m_bHasGun, Offset: 0x1CAC
Table: DT_PropVehicleDriveable, Prop: m_vecGunCrosshair, Offset: 0x1C44
Table: DT_PropVehicleDriveable, Prop: m_hPlayer, Offset: 0x1C00
Table: DT_PropVehicleDriveable, Prop: m_nSpeed, Offset: 0x1C04
Table: DT_PropVehicleDriveable, Prop: m_nRPM, Offset: 0x1C08
Table: DT_PropVehicleDriveable, Prop: m_flThrottle, Offset: 0x1C0C
Table: DT_PropVehicleDriveable, Prop: m_nBoostTimeLeft, Offset: 0x1C10
Table: DT_PropVehicleDriveable, Prop: m_nHasBoost, Offset: 0x1C14
Table: DT_PropVehicleDriveable, Prop: m_nScannerDisabledWeapons, Offset: 0x1C18
Table: DT_PropVehicleDriveable, Prop: m_nScannerDisabledVehicle, Offset: 0x1C1C
Table: DT_PropVehicleDriveable, Prop: m_bEnterAnimOn, Offset: 0x1C3C
Table: DT_PropVehicleDriveable, Prop: m_bExitAnimOn, Offset: 0x1C3D
Table: DT_PropVehicleDriveable, Prop: m_bUnableToFire, Offset: 0x1CAD
Table: DT_PropVehicleDriveable, Prop: m_vecEyeExitEndpoint, Offset: 0x1CA0
Table: DT_PropVehicleDriveable, Prop: m_bHasGun, Offset: 0x1CAC
Table: DT_PropVehicleDriveable, Prop: m_vecGunCrosshair, Offset: 0x1C44
Table: DT_PropVehicleDriveable, Prop: m_hPlayer, Offset: 0x1C00
Table: DT_PropVehicleDriveable, Prop: m_nSpeed, Offset: 0x1C04
Table: DT_PropVehicleDriveable, Prop: m_nRPM, Offset: 0x1C08
Table: DT_PropVehicleDriveable, Prop: m_flThrottle, Offset: 0x1C0C
Table: DT_PropVehicleDriveable, Prop: m_nBoostTimeLeft, Offset: 0x1C10
Table: DT_PropVehicleDriveable, Prop: m_nHasBoost, Offset: 0x1C14
Table: DT_PropVehicleDriveable, Prop: m_nScannerDisabledWeapons, Offset: 0x1C18
Table: DT_PropVehicleDriveable, Prop: m_nScannerDisabledVehicle, Offset: 0x1C1C
Table: DT_PropVehicleDriveable, Prop: m_bEnterAnimOn, Offset: 0x1C3C
Table: DT_PropVehicleDriveable, Prop: m_bExitAnimOn, Offset: 0x1C3D
Table: DT_PropVehicleDriveable, Prop: m_bUnableToFire, Offset: 0x1CAD
Table: DT_PropVehicleDriveable, Prop: m_vecEyeExitEndpoint, Offset: 0x1CA0
Table: DT_PropVehicleDriveable, Prop: m_bHasGun, Offset: 0x1CAC
Table: DT_PropVehicleDriveable, Prop: m_vecGunCrosshair, Offset: 0x1C44
