Table: DT_Sprite, Prop: m_hAttachedToEntity, Offset: 0x16D8
Table: DT_Sprite, Prop: m_nAttachment, Offset: 0x16DC
Table: DT_Sprite, Prop: m_flScaleTime, Offset: 0x16F8
Table: DT_Sprite, Prop: m_flSpriteScale, Offset: 0x16F4
Table: DT_Sprite, Prop: m_flSpriteFramerate, Offset: 0x16E0
Table: DT_Sprite, Prop: m_flGlowProxySize, Offset: 0x1700
Table: DT_Sprite, Prop: m_flHDRColorScale, Offset: 0x1704
Table: DT_Sprite, Prop: m_flFrame, Offset: 0x16E4
Table: DT_Sprite, Prop: m_flBrightnessTime, Offset: 0x16F0
Table: DT_Sprite, Prop: m_nBrightness, Offset: 0x16EC
Table: DT_Sprite, Prop: m_bWorldSpaceScale, Offset: 0x16FC
Table: DT_Sprite, Prop: m_hAttachedToEntity, Offset: 0x16D8
Table: DT_Sprite, Prop: m_nAttachment, Offset: 0x16DC
Table: DT_Sprite, Prop: m_flScaleTime, Offset: 0x16F8
Table: DT_Sprite, Prop: m_flSpriteScale, Offset: 0x16F4
Table: DT_Sprite, Prop: m_flSpriteFramerate, Offset: 0x16E0
Table: DT_Sprite, Prop: m_flGlowProxySize, Offset: 0x1700
Table: DT_Sprite, Prop: m_flHDRColorScale, Offset: 0x1704
Table: DT_Sprite, Prop: m_flFrame, Offset: 0x16E4
Table: DT_Sprite, Prop: m_flBrightnessTime, Offset: 0x16F0
Table: DT_Sprite, Prop: m_nBrightness, Offset: 0x16EC
Table: DT_Sprite, Prop: m_bWorldSpaceScale, Offset: 0x16FC
Table: DT_Sprite, Prop: m_hAttachedToEntity, Offset: 0x16D8
Table: DT_Sprite, Prop: m_nAttachment, Offset: 0x16DC
Table: DT_Sprite, Prop: m_flScaleTime, Offset: 0x16F8
Table: DT_Sprite, Prop: m_flSpriteScale, Offset: 0x16F4
Table: DT_Sprite, Prop: m_flSpriteFramerate, Offset: 0x16E0
Table: DT_Sprite, Prop: m_flGlowProxySize, Offset: 0x1700
Table: DT_Sprite, Prop: m_flHDRColorScale, Offset: 0x1704
Table: DT_Sprite, Prop: m_flFrame, Offset: 0x16E4
Table: DT_Sprite, Prop: m_flBrightnessTime, Offset: 0x16F0
Table: DT_Sprite, Prop: m_nBrightness, Offset: 0x16EC
Table: DT_Sprite, Prop: m_bWorldSpaceScale, Offset: 0x16FC
