Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
